Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\base,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\cast,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\drive,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\fitness,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\games,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\gcm,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\identity,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\location,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\maps,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\measurement,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\nearby,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\panorama,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\plus,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\safetynet,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\vision,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\wallet,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\wearable,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\davidlee_11055579,2,11306,2574,2412,0,7,0,8725,41928,12,64
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\davidlee_11055579\wheeledwalks,2,11306,2574,2412,0,7,0,8725,41928,12,64
C:\Android_Dev\WheeledWalks\app\src,39,7450,4814,3521,432,1317,120,1319,8089,390,2574
C:\Android_Dev\WheeledWalks\app\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\app\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\app\src\androidTest\java\davidlee_11055579,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\app\src\androidTest\java\davidlee_11055579\wheeledwalks,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\app\src\main,38,7437,4806,3515,432,1315,120,1316,8083,390,2574
C:\Android_Dev\WheeledWalks\app\src\main\java,38,7437,4806,3515,432,1315,120,1316,8083,390,2574
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579,38,7437,4806,3515,432,1315,120,1316,8083,390,2574
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks,38,7437,4806,3515,432,1315,120,1316,8083,390,2574
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities,16,4174,2776,2054,245,705,67,693,4435,210,1386
